Hour=0, Sec=0, ControlIter=1, Element=Regulator.treg3, Action= CHANGED 8 TAPS TO 1.05.
Hour=0, Sec=0, ControlIter=1, Element=Regulator.treg2, Action= CHANGED 6 TAPS TO 1.0375.
Hour=0, Sec=0, ControlIter=1, Element=Regulator.treg1, Action= CHANGED 8 TAPS TO 1.05.
Hour=0, Sec=0, ControlIter=2, Element=Regulator.treg3, Action= CHANGED 2 TAPS TO 1.0625.
Hour=0, Sec=0, ControlIter=2, Element=Regulator.treg2, Action= CHANGED 2 TAPS TO 1.05.
Hour=0, Sec=0, ControlIter=2, Element=Regulator.treg1, Action= CHANGED 2 TAPS TO 1.0625.
Hour=0, Sec=0, ControlIter=3, Element=Regulator.treg3, Action= CHANGED 1 TAPS TO 1.06875.
Hour=0, Sec=0, ControlIter=3, Element=Regulator.treg1, Action= CHANGED 1 TAPS TO 1.06875.
Hour=0, Sec=0, ControlIter=0, Element=Regulator.treg3, Action= CHANGED -3 TAPS TO 1.05.
Hour=0, Sec=0, ControlIter=0, Element=Regulator.treg2, Action= CHANGED -2 TAPS TO 1.0375.
Hour=0, Sec=0, ControlIter=0, Element=Regulator.treg1, Action= CHANGED -3 TAPS TO 1.05.
Hour=0, Sec=0, ControlIter=0, Element=Regulator.treg3, Action= CHANGED -1 TAPS TO 1.04375.
Hour=0, Sec=0, ControlIter=0, Element=Regulator.treg1, Action= CHANGED -1 TAPS TO 1.04375.
Hour=0, Sec=1800, ControlIter=0, Element=Regulator.treg3, Action= CHANGED -1 TAPS TO 1.0375.
Hour=1, Sec=0, ControlIter=0, Element=Regulator.treg2, Action= CHANGED -1 TAPS TO 1.03125.
Hour=1, Sec=0, ControlIter=0, Element=Regulator.treg1, Action= CHANGED -1 TAPS TO 1.0375.
Hour=1, Sec=2700, ControlIter=0, Element=Regulator.treg3, Action= CHANGED -1 TAPS TO 1.03125.
Hour=8, Sec=900, ControlIter=0, Element=Regulator.treg3, Action= CHANGED 1 TAPS TO 1.0375.
Hour=9, Sec=1800, ControlIter=0, Element=Regulator.treg1, Action= CHANGED 1 TAPS TO 1.04375.
Hour=11, Sec=0, ControlIter=0, Element=Regulator.treg3, Action= CHANGED 1 TAPS TO 1.04375.
Hour=15, Sec=900, ControlIter=0, Element=Regulator.treg2, Action= CHANGED 1 TAPS TO 1.0375.
Hour=16, Sec=0, ControlIter=0, Element=Regulator.treg3, Action= CHANGED 1 TAPS TO 1.05.
Hour=16, Sec=0, ControlIter=0, Element=Regulator.treg1, Action= CHANGED 1 TAPS TO 1.05.
Hour=16, Sec=900, ControlIter=0, Element=Regulator.treg2, Action= CHANGED 1 TAPS TO 1.04375.
Hour=16, Sec=1800, ControlIter=0, Element=Regulator.treg3, Action= CHANGED 1 TAPS TO 1.05625.
Hour=16, Sec=1800, ControlIter=0, Element=Regulator.treg1, Action= CHANGED 1 TAPS TO 1.05625.
Hour=16, Sec=2700, ControlIter=0, Element=Regulator.treg3, Action= CHANGED 1 TAPS TO 1.0625.
Hour=16, Sec=2700, ControlIter=0, Element=Regulator.treg2, Action= CHANGED 1 TAPS TO 1.05.
Hour=16, Sec=2700, ControlIter=0, Element=Regulator.treg1, Action= CHANGED 1 TAPS TO 1.0625.
Hour=21, Sec=900, ControlIter=0, Element=Regulator.treg3, Action= CHANGED -1 TAPS TO 1.05625.
Hour=21, Sec=900, ControlIter=0, Element=Regulator.treg1, Action= CHANGED -1 TAPS TO 1.05625.
Hour=21, Sec=2700, ControlIter=0, Element=Regulator.treg2, Action= CHANGED -1 TAPS TO 1.04375.
Hour=22, Sec=0, ControlIter=0, Element=Regulator.treg3, Action= CHANGED -1 TAPS TO 1.05.
Hour=22, Sec=0, ControlIter=0, Element=Regulator.treg1, Action= CHANGED -1 TAPS TO 1.05.
Hour=22, Sec=1800, ControlIter=0, Element=Regulator.treg3, Action= CHANGED -1 TAPS TO 1.04375.
Hour=22, Sec=1800, ControlIter=0, Element=Regulator.treg2, Action= CHANGED -1 TAPS TO 1.0375.
Hour=22, Sec=2700, ControlIter=0, Element=Regulator.treg1, Action= CHANGED -1 TAPS TO 1.04375.
Hour=23, Sec=900, ControlIter=0, Element=Regulator.treg3, Action= CHANGED -1 TAPS TO 1.0375.
Hour=23, Sec=2700, ControlIter=0, Element=Regulator.treg2, Action= CHANGED -1 TAPS TO 1.03125.
Hour=23, Sec=2700, ControlIter=0, Element=Regulator.treg1, Action= CHANGED -1 TAPS TO 1.0375.
